scenario,mass_scale,damping_scale,frictionloss,action_noise_std,init_angle_deg,final_angle_deg,final_error_deg,last_error_deg,max_overshoot_deg,mean_abs_torque,success
nominal,1.0,1.0,0.0,0.0,0.0,42.16997396573552,2.8300260342644776,2.8300260342644776,0.0,1.0266972176140745,True
mass_x0.5,0.5,1.0,0.0,0.0,0.0,43.54783203789829,1.4521679621017114,1.4521679621017114,0.0,0.5341522960792123,True
mass_x2.0,2.0,1.0,0.0,0.0,0.0,39.62320107999431,5.37679892000569,5.37679892000569,0.0,1.9064524276009958,False
damping_x0.3,1.0,0.3,0.0,0.0,0.0,42.16997396573547,2.8300260342645274,2.8300260342645274,0.0,1.029713623811551,True
damping_x3.0,1.0,3.0,0.0,0.0,0.0,42.169973965735444,2.830026034264556,2.830026034264556,0.0,1.0198975961735302,True
joint_friction_0.05,1.0,1.0,0.05,0.0,0.0,42.156536954626105,2.8434630453738947,2.8434630453738947,0.0,1.037311630824442,True
action_noise_0.5,1.0,1.0,0.0,0.5,0.0,42.0678070102782,2.9321929897217984,2.9321929897217984,0.0,1.0417692314750309,True
domain_randomization_00,1.4554425309821815,1.02842412716245,0.0032778819148955754,0.008263817764264547,0.0,40.977489510058305,4.022510489941695,4.022510489941695,0.0,1.4433942219580154,True
domain_randomization_01,1.7199053588004087,2.7644400586498485,0.04853086206137439,0.3647482804919992,0.0,40.175630631844335,4.824369368155665,4.824369368155665,0.0,1.6658196886034748,True
domain_randomization_02,1.3154374871981342,2.8246955442269743,0.06526828432972258,0.0013692500850740474,0.0,41.39242376949911,3.6075762305008894,3.6075762305008894,0.0,1.2773549449770263,True
domain_randomization_03,1.786106414881354,0.3906810533247538,0.05837243571439553,0.08782781030127951,0.0,40.160608044309726,4.8393919556902745,4.8393919556902745,0.0,1.729293060510628,True
domain_randomization_04,1.7947683835248298,1.7619452946725478,0.023976951242990784,0.21134361059882922,0.0,40.07077616896717,4.929223831032829,4.929223831032829,0.0,1.7333657233148057,True
domain_randomization_05,0.5424795067181944,0.6355648465488226,0.05364995317549043,0.32359475578712504,0.0,43.39179622877829,1.60820377122171,1.60820377122171,0.0,0.5954733694500175,True
domain_randomization_06,1.4230776672218808,1.3359293965070853,0.07977679486313688,0.49041766938811504,0.0,41.28399799393671,3.7160020060632917,3.7160020060632917,0.0,1.4160949369269535,True
domain_randomization_07,1.528312976721042,2.0562400459231043,0.055075738445675204,0.1944607119895519,0.0,40.82970250539046,4.170297494609542,4.170297494609542,0.0,1.4998642471437116,True
domain_randomization_08,0.7026447575336168,2.2480185185240207,0.04202834579805807,0.15512093777947783,0.0,42.97159965973049,2.0284003402695134,2.0284003402695134,0.0,0.7371430241632497,True
domain_randomization_09,1.2287530382476837,2.7016171527423007,0.07472348127649997,0.17889759835453511,0.0,41.562531788760815,3.4374682112391852,3.4374682112391852,0.0,1.2312543274562049,True
domain_randomization_10,1.3572947460946414,1.1690473559050438,0.04754400241597574,0.16895561275356663,0.0,41.23189297120648,3.7681070287935228,3.7681070287935228,0.0,1.3518642908956282,True
domain_randomization_11,1.087428500792242,2.703740750412939,0.01817260748267038,0.3115935723430212,0.0,41.97026122350742,3.0297387764925787,3.0297387764925787,0.0,1.107369815056939,True
domain_randomization_12,0.6260230153735773,2.548139198664174,0.06296786459909468,0.11968472149647608,0.0,43.199808713706545,1.8001912862934546,1.8001912862934546,0.0,0.6638590677446242,True
domain_randomization_13,1.8147263462160557,0.4581336939740247,0.02688936484365283,0.07513973344741953,0.0,40.09626774954831,4.903732250451689,4.903732250451689,0.0,1.7555676484965446,True
domain_randomization_14,1.1755090499739305,2.4500755297756944,0.018451376719499795,0.026010650532204804,0.0,41.70512907512724,3.294870924872761,3.294870924872761,0.0,1.1836965607882677,True
domain_randomization_15,1.1068277597322922,0.8359852201749893,0.007260243649529752,0.29016619299342533,0.0,41.93477792561343,3.0652220743865684,3.0652220743865684,0.0,1.130065666469522,True
domain_randomization_16,0.9480441992283839,2.1143861704821703,0.015961235517457064,0.4710565552532489,0.0,42.30747036011501,2.692529639884988,2.692529639884988,0.0,0.9895495265181622,True
domain_randomization_17,1.047665252367243,0.5848372548396197,0.05032865212317674,0.4635772765339337,0.0,42.12589960412394,2.874100395876063,2.874100395876063,0.0,1.0808579176856385,True
domain_randomization_18,1.160565732073676,2.8773943329649905,0.039991665095011765,0.21261431242453777,0.0,41.761083256590105,3.238916743409895,3.238916743409895,0.0,1.1716758369988023,True
domain_randomization_19,1.4303201780230668,2.986760564135375,0.07591549399502123,0.23002256965454804,0.0,41.04326777698594,3.9567322230140576,3.9567322230140576,0.0,1.4097417806903143,True
